run_name,module,num_layers,checkpoint,best_metric,base_model,lora_r,lora_alpha,mean_effective_rank_tau,median_effective_rank_tau,max_effective_rank_tau,mean_stable_rank,median_stable_rank,mean_frobenius_norm,mean_rank_energy_90,median_rank_energy_90,mean_rank_energy_95,median_rank_energy_95,mean_rank_energy_99,median_rank_energy_99
llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20,ALL,160,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20/checkpoint-23840,0.255401611328125,./models/llama-3-8b,32,32.0,32.0,32.0,32.0,2.501065206748201,2.348308837812592,2.632980732199377,9.0125,9.0,13.55,14.0,23.925,25.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20,down_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20/checkpoint-23840,0.255401611328125,./models/llama-3-8b,32,32.0,32.0,32.0,32.0,2.4096366184345746,2.391736607036093,3.4628695399980285,10.9375,11.5,16.46875,17.0,26.78125,27.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20,k_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20/checkpoint-23840,0.255401611328125,./models/llama-3-8b,32,32.0,32.0,32.0,32.0,2.7569325032636636,2.788175959416513,1.322352284141168,6.90625,7.0,10.90625,10.5,22.71875,22.5
llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20,q_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20/checkpoint-23840,0.255401611328125,./models/llama-3-8b,32,32.0,32.0,32.0,32.0,2.1003118013405624,1.8666952902078608,2.224738757293739,8.875,9.0,13.625,15.0,23.96875,25.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20,up_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20/checkpoint-23840,0.255401611328125,./models/llama-3-8b,32,32.0,32.0,32.0,32.0,2.1454844391812933,2.0446218989093703,5.183724964863359,7.59375,8.0,11.28125,11.5,21.0,23.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20,v_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=32-seed=36--2026-05-30-09-19-20/checkpoint-23840,0.255401611328125,./models/llama-3-8b,32,32.0,32.0,32.0,32.0,3.092960671520908,2.684228591539645,0.9712181147005992,10.75,11.0,15.46875,16.0,25.15625,26.5
llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10,ALL,160,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10/checkpoint-23840,0.22449834644794464,./models/llama-3-8b,64,64.0,64.0,64.0,64.0,3.3111514066957946,3.1182010454524987,3.0296287868860103,18.85625,19.0,29.69375,31.0,51.08125,53.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10,down_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10/checkpoint-23840,0.22449834644794464,./models/llama-3-8b,64,64.0,64.0,64.0,64.0,3.030387422113983,3.0448181323804113,4.018436689185133,21.34375,22.0,33.0625,34.0,54.09375,55.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10,k_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10/checkpoint-23840,0.22449834644794464,./models/llama-3-8b,64,64.0,64.0,64.0,64.0,3.484889831929431,3.5055099448102522,1.5052720211718433,12.96875,12.0,24.03125,23.0,48.5625,49.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10,q_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10/checkpoint-23840,0.22449834644794464,./models/llama-3-8b,64,64.0,64.0,64.0,64.0,2.994998754217659,2.9326716912483333,2.5920728721670243,19.90625,20.5,31.0625,33.0,51.96875,54.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10,up_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10/checkpoint-23840,0.22449834644794464,./models/llama-3-8b,64,64.0,64.0,64.0,64.0,2.823362572749262,2.660056731681551,5.856513151076563,18.03125,20.0,27.5625,30.0,48.375,51.0
llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10,v_proj,32,results_tira/llama-3-8b-meta_math-lora-lr=4.00e-05-r=64-seed=36--2026-04-25-16-26-10/checkpoint-23840,0.22449834644794464,./models/llama-3-8b,64,64.0,64.0,64.0,64.0,4.222118452468638,3.8578995945553523,1.1758492008294832,22.03125,24.0,32.75,36.0,52.40625,54.5
