run_name,module,num_layers,checkpoint,best_metric,base_model,tira_M,tira_K,mean_effective_rank_tau,median_effective_rank_tau,max_effective_rank_tau,mean_stable_rank,median_stable_rank,mean_frobenius_norm,mean_rank_energy_90,median_rank_energy_90,mean_rank_energy_95,median_rank_energy_95,mean_rank_energy_99,median_rank_energy_99
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,ALL,160,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,0.43289390206336975,./models/llama-3-8b,16,32,432.9625,495.5,512.0,10.148025405587957,8.540536387477939,1.5143300355651959,102.88125,82.5,161.9375,142.0,304.45,304.5
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,down_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,0.43289390206336975,./models/llama-3-8b,16,32,510.46875,512.0,512.0,16.77917655935801,15.350665402481459,1.95932218614764,206.0,194.0,274.8125,266.0,402.5,403.0
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,k_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,0.43289390206336975,./models/llama-3-8b,16,32,329.78125,340.5,397.0,6.6413269001506094,6.7313892858369275,0.9223850580819477,40.25,39.5,81.53125,83.0,208.28125,209.0
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,q_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,0.43289390206336975,./models/llama-3-8b,16,32,489.15625,497.0,507.0,12.376140858537509,12.285718460759835,1.5269178577261444,70.9375,68.5,133.40625,132.0,288.71875,284.5
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,up_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,0.43289390206336975,./models/llama-3-8b,16,32,512.0,512.0,512.0,2.960222413442199,2.888642628983087,2.6817778100448844,77.09375,67.0,142.0625,131.0,315.3125,308.0
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,v_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,0.43289390206336975,./models/llama-3-8b,16,32,323.40625,330.0,409.0,11.983260296451451,9.747733326240795,0.4812472658253626,120.125,112.0,177.875,169.5,307.4375,307.0
llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52,ALL,160,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52/checkpoint-24000,0.5042827725410461,./models/llama-3-8b,32,32,757.26875,866.5,1024.0,14.707871982147287,12.316923307586762,1.2413142063182832,229.2,177.0,356.51875,312.0,631.8125,603.5
llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52,down_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52/checkpoint-24000,0.5042827725410461,./models/llama-3-8b,32,32,1022.40625,1024.0,1024.0,26.740912371232564,23.352788818278235,1.5292408213133901,482.59375,452.0,647.96875,626.0,892.0,885.5
llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52,k_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52/checkpoint-24000,0.5042827725410461,./models/llama-3-8b,32,32,442.90625,462.5,545.0,9.54106188635252,10.079429109794049,0.6617177319291785,109.71875,113.0,191.6875,197.5,408.09375,417.5
llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52,q_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52/checkpoint-24000,0.5042827725410461,./models/llama-3-8b,32,32,847.5625,866.5,924.0,16.333189266503844,15.149571855216198,1.33498018547992,116.75,115.0,242.15625,243.5,568.5625,577.5
llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52,up_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52/checkpoint-24000,0.5042827725410461,./models/llama-3-8b,32,32,1024.0,1024.0,1024.0,4.605994126772469,3.9180351021739126,2.2721666274898693,208.0,174.0,370.40625,337.5,737.375,724.0
llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52,v_proj,32,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-04-21-16-09-52/checkpoint-24000,0.5042827725410461,./models/llama-3-8b,32,32,449.46875,463.0,568.0,16.318202259875047,14.554902794315684,0.40846566537905954,228.9375,222.5,330.375,324.0,553.03125,552.5
